variant_id,rerank_top_n,batch_size,cpu_threads,recall_at_1,recall_at_3,recall_at_5,mrr,correct_document_retrieval,correct_page_retrieval,retrieval_mean_ms,reranking_mean_ms,total_mean_ms,total_p50_ms,total_p95_ms
configured_top20_b4_t4,20,4,4,0.625,0.875,1.0,0.775,0.875,0.625,54.23656000639312,963.488630001666,1017.7251900080591,1019.6406500035664,1326.0045000060927
bounded_top10_b4_t4,10,4,4,0.5,0.875,1.0,0.7125,0.75,0.5,54.23656000639312,530.5118399934145,584.7483999998076,525.3692499973113,916.3032999786083
bounded_top10_b2_t4,10,2,4,0.5,0.875,1.0,0.7125,0.75,0.5,54.23656000639312,509.11610000184737,563.3526600082405,552.2331999964081,825.5785999936052
bounded_top10_b4_t2,10,4,2,0.5,0.875,1.0,0.7125,0.75,0.5,54.23656000639312,754.2904800036922,808.5270400100853,770.0323500030208,1180.3608000045642
